"team";"week";"name";"pass";"x";"y";"season";"away_team";"away_score";"home_team";"home_score";"color";"size"
"TB";17;"Tom Brady";"COMPLETE";-22.4972964;11.66339574;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";7.523391172;16.08098051;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";22.17029117;9.867962414;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";-4.009867592;-3.987203877;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";12.06893527;7.167501113;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";-15.04541476;0.189405778;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";21.04897342;43.56085334;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";1.18983438;4.655357143;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";-4.834372533;18.00581696;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";14.25258987;-1.183232446;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";-12.059337;14.37160697;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";-18.51409038;2.267368862;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";21.44071796;19.22386869;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";-1.218675391;6.637699645;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";2.568177891;-3.727003194;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";2.017676334;14.77330927;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";-11.7547666;-1.327934734;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";13.76840137;-5.789907356;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";12.5459421;-2.423014348;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";22.77670315;9.909746741;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";-17.8770858;2.475879531;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"COMPLETE";-18.68901185;-0.463910398;2020;"ATL";27;"TB";44;3;3
"TB";17;"Tom Brady";"TOUCHDOWN";-5.47675913;0.153214286;2020;"ATL";27;"TB";44;4;4
"TB";17;"Tom Brady";"TOUCHDOWN";21.45982553;30.99175824;2020;"ATL";27;"TB";44;4;4
"TB";17;"Tom Brady";"TOUCHDOWN";6.940984341;0.098214286;2020;"ATL";27;"TB";44;4;4
"TB";17;"Tom Brady";"TOUCHDOWN";-0.161190027;0.166705827;2020;"ATL";27;"TB";44;4;4
"TB";17;"Tom Brady";"INTERCEPTION";-1.296091416;21.15695701;2020;"ATL";27;"TB";44;1;1
"TB";17;"Tom Brady";"INCOMPLETE";10.90236316;4.780523256;2020;"ATL";27;"TB";44;2;2
"TB";17;"Tom Brady";"INCOMPLETE";-25.30718755;27.08550242;2020;"ATL";27;"TB";44;2;2
"TB";17;"Tom Brady";"INCOMPLETE";1.162421854;17.01674107;2020;"ATL";27;"TB";44;2;2
"TB";17;"Tom Brady";"INCOMPLETE";22.04049034;27.63522257;2020;"ATL";27;"TB";44;2;2
"TB";17;"Tom Brady";"INCOMPLETE";19.7522422;9.461309524;2020;"ATL";27;"TB";44;2;2
"TB";17;"Tom Brady";"INCOMPLETE";-2.699419753;-1.28042328;2020;"ATL";27;"TB";44;2;2
"TB";17;"Tom Brady";"INCOMPLETE";15.76254544;32.14603511;2020;"ATL";27;"TB";44;2;2
"TB";17;"Tom Brady";"INCOMPLETE";5.02439265;23.08877551;2020;"ATL";27;"TB";44;2;2
"TB";17;"Tom Brady";"INCOMPLETE";12.968251;12.83890578;2020;"ATL";27;"TB";44;2;2
"TB";17;"Tom Brady";"INCOMPLETE";-26.18690704;35.43852041;2020;"ATL";27;"TB";44;2;2
"TB";17;"Tom Brady";"INCOMPLETE";11.45717656;4.657215251;2020;"ATL";27;"TB";44;2;2
"TB";17;"Tom Brady";"INCOMPLETE";12.41930356;12.90877329;2020;"ATL";27;"TB";44;2;2
"TB";17;"Tom Brady";"INCOMPLETE";19.22152552;9.603011727;2020;"ATL";27;"TB";44;2;2
"TB";17;"Tom Brady";"INCOMPLETE";-2.154096887;-1.336199295;2020;"ATL";27;"TB";44;2;2
"TB";2;"Tom Brady";"COMPLETE";24.27736245;7.756651739;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";-16.86220522;0.067812172;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";8.787463522;-5.237768836;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";2.822527503;9.267805681;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";-9.521774102;5.1249353;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";9.094962195;29.83373479;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";-25.56254714;12.49377521;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";-3.837963733;23.45692371;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";15.74499707;-3.699671196;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";3.275621199;-4.060057924;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";11.88123087;-5.26100236;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";-7.318704414;1.286642771;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";-16.69908167;7.226891852;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";20.73152352;5.928412157;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";-8.956534757;-4.876067547;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";0.303835689;4.358806456;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";18.43272886;0.243192319;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";-23.66442373;8.018379657;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";10.88299386;0.661552779;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";-18.72963076;5.51470696;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";-18.29455047;1.11284749;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"COMPLETE";13.2418241;-2.694286073;2020;"CAR";17;"TB";31;3;3
"TB";2;"Tom Brady";"TOUCHDOWN";6.199382471;0.098214286;2020;"CAR";17;"TB";31;4;4
